........................................................................ [ 50%]
......................................................................   [100%]
=============================== tests coverage ================================
______________ coverage: platform win32, python 3.12.13-final-0 _______________

Name                                                      Stmts   Miss  Cover   Missing
---------------------------------------------------------------------------------------
src\bearclaw\__init__.py                                      1      1     0%   3
src\bearclaw\cli.py                                          38     38     0%   7-72
src\bearclaw\commands\__init__.py                             6      6     0%   1-11
src\bearclaw\commands\auth.py                                36     36     0%   3-71
src\bearclaw\commands\browser.py                             35     35     0%   3-66
src\bearclaw\commands\chat.py                                93     93     0%   3-191
src\bearclaw\commands\daemon.py                             115    115     0%   3-201
src\bearclaw\commands\decisions.py                          131    131     0%   3-227
src\bearclaw\commands\knowledge_source.py                    81     81     0%   3-168
src\bearclaw\commands\project.py                             65     65     0%   3-136
src\bearclaw\commands\slack.py                               74     74     0%   3-139
src\bearclaw\commands\usage.py                               69     69     0%   3-148
src\bearclaw\commands\voice.py                               37     37     0%   3-96
src\owlbear\__init__.py                                       2      0   100%
src\owlbear\auth\__init__.py                                  1      1     0%   3
src\owlbear\auth\copilot.py                                  95     95     0%   14-262
src\owlbear\bootstrap\__init__.py                            90     90     0%   3-244
src\owlbear\bootstrap\_types.py                              49     49     0%   3-117
src\owlbear\bootstrap\channel.py                             18     18     0%   3-48
src\owlbear\bootstrap\hooks.py                               35     35     0%   3-77
src\owlbear\bootstrap\knowledge.py                          117    117     0%   3-380
src\owlbear\bootstrap\registry.py                            45     45     0%   3-86
src\owlbear\bootstrap\toolsets.py                           140    140     0%   3-380
src\owlbear\channels\__init__.py                              5      5     0%   3-9
src\owlbear\channels\base.py                                 14     14     0%   3-70
src\owlbear\channels\cli.py                                  35     35     0%   3-85
src\owlbear\channels\slack.py                               158    158     0%   3-417
src\owlbear\channels\slack_mrkdwn.py                         20     20     0%   3-54
src\owlbear\channels\slack_templates.py                      55     55     0%   19-360
src\owlbear\config.py                                       182     63    65%   394-397, 403-407, 413-416, 422-425, 431-434, 440-443, 449-452, 458-461, 467-470, 476-479, 485-488, 494-497, 502-515, 526, 538-543
src\owlbear\core\__init__.py                                  7      0   100%
src\owlbear\core\agent.py                                    94     78    17%   73-100, 111-112, 117-119, 132-183, 187-230, 239-255
src\owlbear\core\agent_def.py                                46     46     0%   13-118
src\owlbear\core\agent_registry.py                           75     75     0%   15-207
src\owlbear\core\board_context.py                             4      4     0%   3-14
src\owlbear\core\circuit_breaker.py                          64     46    28%   57-63, 68, 77-89, 93-96, 100-114, 139-140, 144-162
src\owlbear\core\command_guard.py                            44      0   100%
src\owlbear\core\condenser.py                                67     67     0%   8-188
src\owlbear\core\content_safety.py                           13     13     0%   7-45
